,PROV_NAME,prov_en
0,กรุงเทพมหานคร,Bangkok
1,กระบี่,Krabi
2,กาญจนบุรี,Kanchanaburi
3,กาฬสินธุ์,Kalasin
4,กำแพงเพชร,Kamphaeng Phet
5,ขอนแก่น,Khon Kaen
6,จันทบุรี,Chanthaburi
7,ฉะเชิงเทรา,Chachoengsao
8,ชลบุรี,Chonburi
9,ชัยนาท,Chainat
10,ชัยภูมิ,Chaiyaphum
11,ชุมพร,Chumphon
12,เชียงราย,Chiang Rai
13,เชียงใหม่,Chiang Mai
14,ตรัง,Trang
15,ตราด,Trat
16,ตาก,Tak
17,นครนายก,Nakhon Nayok
18,นครปฐม,Nakhon Pathom
19,นครพนม,Nakhon Phanom
20,นครราชสีมา,Nakhon Ratchasima
21,นครศรีธรรมราช,Nakhon Si Thammarat
22,นครสวรรค์,Nakhon Sawan
23,นนทบุรี,Nonthaburi
24,นราธิวาส,Narathiwat
25,น่าน,Nan
26,บึงกาฬ,Bueng Kan
27,บุรีรัมย์,Buriram
28,ปทุมธานี,Pathum Thani
29,ประจวบคีรีขันธ์,Prachuap Khiri Khan
30,ปราจีนบุรี,Prachinburi
31,ปัตตานี,Pattani
32,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya
33,พะเยา,Phayao
34,พังงา,Phang Nga
35,พัทลุง,Phatthalung
36,พิจิตร,Phichit
37,พิษณุโลก,Phitsanulok
38,เพชรบุรี,Phetchaburi
39,เพชรบูรณ์,Phetchabun
40,แพร่,Phrae
41,ภูเก็ต,Phuket
42,มหาสารคาม,Maha Sarakham
43,มุกดาหาร,Mukdahan
44,แม่ฮ่องสอน,Mae Hong Son
45,ยโสธร,Yasothon
46,ยะลา,Yala
47,ร้อยเอ็ด,Roi Et
48,ระนอง,Ranong
49,ระยอง,Rayong
50,ราชบุรี,Ratchaburi
51,ลพบุรี,Lopburi
52,ลำปาง,Lampang
53,ลำพูน,Lamphun
54,เลย,Loei
55,ศรีสะเกษ,Sisaket
56,สกลนคร,Sakon Nakhon
57,สงขลา,Songkhla
58,สตูล,Satun
59,สมุทรปราการ,Samut Prakan
60,สมุทรสงคราม,Samut Songkhram
61,สมุทรสาคร,Samut Sakhon
62,สระแก้ว,Sa Kaeo
63,สระบุรี,Saraburi
64,สิงห์บุรี,Sing Buri
65,สุโขทัย,Sukhothai
66,สุพรรณบุรี,Suphan Buri
67,สุราษฎร์ธานี,Surat Thani
68,สุรินทร์,Surin
69,หนองคาย,Nong Khai
70,หนองบัวลำภู,Nong Bua Lamphu
71,อ่างทอง,Ang Thong
72,อำนาจเจริญ,Amnat Charoen
73,อุดรธานี,Udon Thani
74,อุตรดิตถ์,Uttaradit
75,อุทัยธานี,Uthai Thani
76,อุบลราชธานี,Ubon Ratchathani
