,lstrLevel,lsregion,lscc,lsccDesc,lsrcode,lsrcodeDesc,lsaa,lsaaDesc,lstt,lsttDesc,lsmm,lsmmDesc,lsyymm,lssumtotMale,lssumtotFemale,lssumtotTot
0,0,0,10,กรุงเทพมหานคร, , ,0, ,0, ,0, ,6501,2590887,2934368,5525255
1,0,0,11,จังหวัดสมุทรปราการ, , ,0, ,0, ,0, ,6501,645772,710707,1356479
2,0,0,12,จังหวัดนนทบุรี, , ,0, ,0, ,0, ,6501,599520,689998,1289518
3,0,0,13,จังหวัดปทุมธานี, , ,0, ,0, ,0, ,6501,564232,626686,1190918
4,0,0,14,จังหวัดพระนครศรีอยุธยา, , ,0, ,0, ,0, ,6501,394039,426595,820634
5,0,0,15,จังหวัดอ่างทอง, , ,0, ,0, ,0, ,6501,131364,143274,274638
6,0,0,16,จังหวัดลพบุรี, , ,0, ,0, ,0, ,6501,368360,370617,738977
7,0,0,17,จังหวัดสิงห์บุรี, , ,0, ,0, ,0, ,6501,97064,107312,204376
8,0,0,18,จังหวัดชัยนาท, , ,0, ,0, ,0, ,6501,153897,166421,320318
9,0,0,19,จังหวัดสระบุรี, , ,0, ,0, ,0, ,6501,316259,327669,643928
10,0,0,20,จังหวัดชลบุรี, , ,0, ,0, ,0, ,6501,772703,811531,1584234
11,0,0,21,จังหวัดระยอง, , ,0, ,0, ,0, ,6501,369339,382834,752173
12,0,0,22,จังหวัดจันทบุรี, , ,0, ,0, ,0, ,6501,262188,274327,536515
13,0,0,23,จังหวัดตราด, , ,0, ,0, ,0, ,6501,112877,115390,228267
14,0,0,24,จังหวัดฉะเชิงเทรา, , ,0, ,0, ,0, ,6501,354936,369541,724477
15,0,0,25,จังหวัดปราจีนบุรี, , ,0, ,0, ,0, ,6501,244938,250898,495836
16,0,0,26,จังหวัดนครนายก, , ,0, ,0, ,0, ,6501,128855,131592,260447
17,0,0,27,จังหวัดสระแก้ว, , ,0, ,0, ,0, ,6501,280744,281356,562100
