_id,year,quarter,region,area,value,unit,source
1,2555,ไตรมาส 1,ทั่วประเทศ,รวม,279.15,พันคน,สำนักงานสถิติแห่งชาติ
2,2555,ไตรมาส 2,ทั่วประเทศ,รวม,338.40,พันคน,สำนักงานสถิติแห่งชาติ
3,2555,ไตรมาส 3,ทั่วประเทศ,รวม,230.80,พันคน,สำนักงานสถิติแห่งชาติ
4,2555,ไตรมาส 4,ทั่วประเทศ,รวม,188.00,พันคน,สำนักงานสถิติแห่งชาติ
5,2556,ไตรมาส 1,ทั่วประเทศ,รวม,280.45,พันคน,สำนักงานสถิติแห่งชาติ
6,2556,ไตรมาส 2,ทั่วประเทศ,รวม,292.14,พันคน,สำนักงานสถิติแห่งชาติ
7,2556,ไตรมาส 3,ทั่วประเทศ,รวม,305.60,พันคน,สำนักงานสถิติแห่งชาติ
8,2556,ไตรมาส 4,ทั่วประเทศ,รวม,255.89,พันคน,สำนักงานสถิติแห่งชาติ
9,2557,ไตรมาส 1,ทั่วประเทศ,รวม,341.12,พันคน,สำนักงานสถิติแห่งชาติ
10,2557,ไตรมาส 2,ทั่วประเทศ,รวม,385.70,พันคน,สำนักงานสถิติแห่งชาติ
11,2557,ไตรมาส 3,ทั่วประเทศ,รวม,326.62,พันคน,สำนักงานสถิติแห่งชาติ
12,2557,ไตรมาส 4,ทั่วประเทศ,รวม,237.27,พันคน,สำนักงานสถิติแห่งชาติ
13,2558,ไตรมาส 1,ทั่วประเทศ,รวม,361.30,พันคน,สำนักงานสถิติแห่งชาติ
14,2558,ไตรมาส 2,ทั่วประเทศ,รวม,336.08,พันคน,สำนักงานสถิติแห่งชาติ
15,2558,ไตรมาส 3,ทั่วประเทศ,รวม,356.02,พันคน,สำนักงานสถิติแห่งชาติ
16,2558,ไตรมาส 4,ทั่วประเทศ,รวม,308.84,พันคน,สำนักงานสถิติแห่งชาติ
17,2559,ไตรมาส 1,ทั่วประเทศ,รวม,369.89,พันคน,สำนักงานสถิติแห่งชาติ
18,2559,ไตรมาส 2,ทั่วประเทศ,รวม,411.12,พันคน,สำนักงานสถิติแห่งชาติ
19,2559,ไตรมาส 3,ทั่วประเทศ,รวม,362.51,พันคน,สำนักงานสถิติแห่งชาติ
20,2559,ไตรมาส 4,ทั่วประเทศ,รวม,366.30,พันคน,สำนักงานสถิติแห่งชาติ
21,2560,ไตรมาส 1,ทั่วประเทศ,รวม,463.38,พันคน,สำนักงานสถิติแห่งชาติ
22,2560,ไตรมาส 2,ทั่วประเทศ,รวม,464.97,พันคน,สำนักงานสถิติแห่งชาติ
23,2560,ไตรมาส 3,ทั่วประเทศ,รวม,452.59,พันคน,สำนักงานสถิติแห่งชาติ
24,2560,ไตรมาส 4,ทั่วประเทศ,รวม,421.73,พันคน,สำนักงานสถิติแห่งชาติ
25,2561,ไตรมาส 1,ทั่วประเทศ,รวม,473.77,พันคน,สำนักงานสถิติแห่งชาติ
