Month of Data Create,COUNT([เครียดสูง])/COUNT([Id])*100,COUNT([เสี่ยง Burnout])/COUNT([Id])*100,COUNT([เสี่ยงฆ่าตัวตาย])/COUNT([Id])*100,COUNT([เสี่ยงซึมเศร้า])/COUNT([Id])*100
มกราคม 2563,2.257474070,0,2.684563758,5.003050641
กุมภาพันธ์ 2563,3.094777563,0,1.740812379,0.193423598
มีนาคม 2563,1.5625,0,2.083333333,0.520833333
เมษายน 2563,6.561792910,0,0.296304278,0.409438638
พฤษภาคม 2563,3.500948767,0,1.204933586,1.088709677
มิถุนายน 2563,1.085816648,0,0.448853180,1.142127319
กรกฎาคม 2563,1.580415246,0,0.716515377,2.525943450
สิงหาคม 2563,1.212538866,0,0.686667815,2.151887311
กันยายน 2563,1.909295392,0,0.993879793,2.646858817
ตุลาคม 2563,2.853533477,0,1.010626440,2.667756558
พฤศจิกายน 2563,8.945508648,0,5.839687558,11.121443184
ธันวาคม 2563,5.388818202,0,2.671955692,6.242047751
มกราคม 2564,4.010271385,0,2.359350767,5.554387779
กุมภาพันธ์ 2564,1.748601499,0,0.989143612,2.513495735
มีนาคม 2564,1.679220151,0,1.090413085,2.413628964
เมษายน 2564,2.151361020,0,1.159801017,2.790788665
พฤษภาคม 2564,2.197621655,0,1.197778125,2.814895947
มิถุนายน 2564,2.673315036,0,1.610413917,3.592354375
กรกฎาคม 2564,5.594883562,0,3.379387785,7.261631597
สิงหาคม 2564,45.448930499,0,30.599440869,51.518431831
กันยายน 2564,14.216526693,0,10.126332256,16.497459924
ตุลาคม 2564,7.476884631,0,5.294460641,9.512703040
พฤศจิกายน 2564,8.404862533,0,5.867572945,10.602297649
ธันวาคม 2564,5.559973802,0,4.233720060,7.143525449
มกราคม 2565,9.072510910,0,6.192091726,10.934406806
กุมภาพันธ์ 2565,1.765737437,0,1.048658564,2.175424805
มีนาคม 2565,2.429254287,0,1.480780501,3.018017776
เมษายน 2565,2.780614015,0,1.640611834,3.322858531
พฤษภาคม 2565,2.395030130,0,1.456294952,3.171774768
มิถุนายน 2565,3.115393655,0,2.184723854,4.122209166
กรกฎาคม 2565,6.727843439,0,4.951795266,8.486275263
สิงหาคม 2565,9.220271282,0,6.321599956,11.295109706
กันยายน 2565,6.784269976,0,4.873797239,8.168316832
ตุลาคม 2565,7.036068025,0,4.939886626,8.867501402
พฤศจิกายน 2565,5.101574509,0,3.837259219,6.995970255
ธันวาคม 2565,6.780490990,0,5.324497258,8.794724471
มกราคม 2566,3.958380457,0,2.712810073,5.148156526
กุมภาพันธ์ 2566,2.395745911,0,1.592462251,3.118630680
มีนาคม 2566,2.169553327,0,1.431175934,2.820087843
เมษายน 2566,3.463489962,0,2.477557739,4.352695617
พฤษภาคม 2566,6.552489171,0,4.698963481,8.232283511
มิถุนายน 2566,5.399499583,0,3.983319433,7.232693912
กรกฎาคม 2566,4.564266902,0,3.248699353,5.848696758
สิงหาคม 2566,5.679762387,0,4.287835831,7.629269610
กันยายน 2566,8.873286157,0,6.482198142,11.253317116
ตุลาคม 2566,38.609136067,0,27.436338647,45.424932091
พฤศจิกายน 2566,6.173823189,0,4.015039279,4.362386863
ธันวาคม 2566,8.495784065,0,5.508984980,6.649622655
มกราคม 2567,12.203381572,0,8.225730481,13.008169696
กุมภาพันธ์ 2567,13.776687219,0,9.364120633,14.758189673
